Visited,Name,Ethnicity/Style,Address,Website,General Area,Neighborhood,Note
TRUE,Handel's Ice Cream,Ice Cream,,handelsicecream.com,Sacramento,,
FALSE,The Alley Boba Tea - Elk Grove,"Coffee & Tea, Bubble Tea","7440 Laguna Blvd, Suite 111, Elk Grove, CA 95758",the-alley.us,Elk Grove,,
FALSE,Binchoyaki Izakaya Dining,"Japanese, Tapas/Small Plates","2226 10th Street, Sacramento, CA 95818",binchoyaki.com,Sacramento,,
FALSE,Prubechu,Guamanian,"2224 Mission St., San Francisco, CA 94110",prubechu.com,San Francisco,The Mission,"This isn't a must do, but I found it when we talked about going to SF and we had recently finished Eight Spot Butterflies"
FALSE,Burgers and Brew,Burgers,,burgersnbrew.com,Sacramento,,Original location in Davis but includes locations in Sacramento
FALSE,Tree House Cafe,Cafe,West Sacramento ,,Davis,,https://www.instagram.com/reel/C-6aEJryrx8/?igsh=MzRlODBiNWFlZA==
FALSE,Amausaan Uji Matcha,Tea,"39658 Cedar Blvd, Newark, CA 94560",,East Bay,,Matcha cafe seen on IG. Also has locations in Berkeley and Daly City
FALSE,Chicha SanChen NorCal,Tea,"20688 Stevens Creek Blvd, Cupertino, CA",,South Bay,,Tea tasting bar. Also sells boba. Has equivalent of 2 or 3 Michelin stars
FALSE,Scorpio Coffee,Coffee & Tea,,,Sacramento,,
FALSE,Bueno Cafe,"Latino specialty coffee, sandwiches, and pan dulce","400 T St, Sacramento, CA 95811",,Sacramento,,
FALSE,The Hangout Lodi,"Specialty coffee, boba drinks, sandwiches, and crepes","12 N. School Street, Lodi, CA 95240",https://instagram.com/p/C_872Q8sFB5/,,,"Open 7 days a week, 7 am-10 pm‼️"
FALSE,Korean bbq ,Korean BBQ,"Off I-5, Stockton ",,,,
,,,,,,,
TRUE,Thai Kitchen,Thai,"107 N Sacramento St, Lodi, CA 95240",,Lodi,,Closed on Tues
TRUE,Toyo Sushi,"Japanese, sushi","4011 E Morada Ln, Stockton, CA 95212",,Stockton,,
TRUE,MooMoos,"American, burgers","113 N School St, Lodi, CA 95240",https://moo-moos.com/,Lodi,,
TRUE,Market Tavern,American,"236 Lincoln Center, Stockton, CA 95207",http://www.markettavernstk.com/,Stockton,,
TRUE,Journey to the Dumpling,Dumplings ,Elk Grove and Sacramento,,,,
FALSE,Orphan Breakfast House,Breakfast and Brunch,,,,,Cash only. ATM no fee on site 
TRUE,Kajiken,Soup less ramen ,Elk Grove ,https://www.instagram.com/reel/C_KPOUiRuYQ/?igsh=MzRlODBiNWFlZA==,,,
,,,,,,,
FALSE,Wurstkuche ,Sausage,"Arts District, Los Angeles",,Los Angeles,,
FALSE,Bang Bang Noodles,Hand pulled noodles ,Los Angeles ,,Los Angeles,,
FALSE,Samanluang,Thai,Claremont,,Inland Empire,,
FALSE,Myung Dong Restaurant ,Korean,Rancho Cucamonga ,,Inland Empire,,
,,,,,,,
TRUE,S.E.A. Hut,South East Asian,Elk Grove,,,,
FALSE,Elixir Tea Bar,Boba speakeasy ,"1779 Newport Blvd, 2nd Floor, Costa Mesa Ca 92627",https://elixirteacraft.com/,,,
FALSE,Inside Out Restaurant,IG reel most beautiful restaurants in CA,San Diego ,,,,
FALSE,Arden,IG reel most beautiful restaurants in CA,West Hollywood,,,,
FALSE,Little Door,IG reel most beautiful restaurants in CA,Los Angeles,,,,
FALSE,Yellow Vase,IG reel most beautiful restaurants in CA,Rancho Palos Verdes,,,,
FALSE,180 Blu,IG reel most beautiful restaurants in CA,Dana Point,,,,
FALSE,Cafe Kevah,IG reel most beautiful restaurants in CA,Big Sur,,,,
FALSE,Yamashiro,IG reel most beautiful restaurants in CA,Hollywood,,,,
FALSE,The Cellar,IG reel most beautiful restaurants in CA,Pasadena,,,,
FALSE,Café Aquatica,,Jenner,,,,
,,,,,,,
FALSE,lao der!,lao asian,Stockton ,,,,
FALSE,Buddha Bowls and Rolls,,Downtown Sacramento ,,,,
FALSE,Creole Soul Restaurant & Bar,,,https://www.creolesoulrestaurantandbar.com/,,,
FALSE,Thai me Up,thai,stockton,,Stockton,,
FALSE,Brenda's French Soul Food,,,,,,
FALSE,,,,,,,
FALSE,Bambina's,Italian,"1610 R Street, Sacramento CA",,Sacramento,,
FALSE,Doma Korean Restaurant,Korean,,,Sacramento,,
FALSE,Yubu Yum,Korean fast food/korean snack ,North Downtown Sacramento,,Sacramento,,
FALSE,Flame Cafe,Hong Kong style cafe ,South Sacramento ,,Sacramento,,
FALSE,Mahoroba Japanese bakery ,,Land Park (Sacramento) ,,Sacramento,,
FALSE,Bumble Bear Coffee,,Downtown Sacramento ,,Sacramento,,
FALSE,Di Kitchen ,"Vietnamese  (bone ne, dry hue tieu)",Little Saigon (Sacramento),,Sacramento,,Closed on Thursdays
FALSE,,,,,Sacramento,,
FALSE,Fujiya,Japanese,"9328 Elk Grove Blvd #100, Elk Grove, CA 95624",https://fujiyaeg.com/,Elk Grove,,
FALSE,Pupuseria La Familiar,,"8164 Florin Rd D, Sacramento, CA 95828",,Elk Grove,,
FALSE,Fixins Soul Kitchen,Soul Food,"3428 3rd Ave, Sacramento, CA 95817",,Sacramento,,
FALSE,,,,,,,